Nome: ITAPERUNA
Codigo Estacao: 83695
Latitude: -21.20444444
Longitude: -41.90555555
Altitude: 123.6
Situacao: Operante
Data Inicial: 1993-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
1993-01-31;99,6;32,883871;26,076842;21,716129;
1993-02-28;109,4;33,292857;null;21,735714;
1993-03-31;138,8;32,709677;null;21,677419;
1993-04-30;117,2;30,65;25,098;20,94;
1993-05-31;24,4;27,435484;21,778065;17,419355;
1993-06-30;16,4;26,996667;19,918;14,946667;
1993-07-31;3,2;29,174194;21,554839;15,922581;
1993-08-31;11,8;28,070968;21,231613;16,364516;
1993-09-30;65,2;29,766667;23,245333;18,24;
1993-10-31;79,7;31,125806;24,288667;19,425806;
1993-11-30;65,7;32,623333;26,324138;21,063333;
1993-12-31;279,7;31,625806;26,043871;21,63871;
1994-01-31;261,2;31,374194;26,152903;22,029032;
1994-02-28;9,8;35,95;28,678571;22,535714;
1994-03-31;330,1;30,370968;25,27871;21,425806;
1994-04-30;92,8;28,748148;24,064615;20,259259;
1994-05-31;51,4;28,824;23,3264;19,684;
1994-06-30;57,6;26,846667;20,450667;15,986667;
1994-07-31;18,6;27,051613;20,111613;14,880645;
1994-08-31;2,4;27,135484;20,415484;15,33871;
1994-09-30;,9;29,543333;22,347333;16,933333;
1994-10-31;69,6;31,458065;24,727742;19,470968;
1994-11-30;72,2;32,24;25,981333;20,713333;
1994-12-31;130,4;32,987097;26,809032;21,96129;
1995-01-31;115,2;35,890323;28,605161;22,774194;
1995-02-28;175,9;33,125;27,249286;22,892857;
1995-03-31;129,8;32,122581;26,393333;21,729032;
1995-04-30;106,1;30,093333;24,28;19,906667;
1995-05-31;30,3;28,529032;22,92129;18,903226;
1995-06-30;0;28,826667;20,655333;14,603333;
1995-07-31;14;29,716129;22,296774;16,212903;
