Codigo;Data;Ano;Mes;Prec;Tmed;Tmax;Tmin
83695;31/01/1993;1993;1;99,6;26,076842;32,883871;21,716129
83695;28/02/1993;1993;2;109,4;NA;33,292857;21,735714
83695;31/03/1993;1993;3;138,8;NA;32,709677;21,677419
83695;30/04/1993;1993;4;117,2;25,098;30,65;20,94
83695;31/05/1993;1993;5;24,4;21,778065;27,435484;17,419355
83695;30/06/1993;1993;6;16,4;19,918;26,996667;14,946667
83695;31/07/1993;1993;7;3,2;21,554839;29,174194;15,922581
83695;31/08/1993;1993;8;11,8;21,231613;28,070968;16,364516
83695;30/09/1993;1993;9;65,2;23,245333;29,766667;18,24
83695;31/10/1993;1993;10;79,7;24,288667;31,125806;19,425806
83695;30/11/1993;1993;11;65,7;26,324138;32,623333;21,063333
83695;31/12/1993;1993;12;279,7;26,043871;31,625806;21,63871
83695;31/01/1994;1994;1;261,2;26,152903;31,374194;22,029032
83695;28/02/1994;1994;2;9,8;28,678571;35,95;22,535714
83695;31/03/1994;1994;3;330,1;25,27871;30,370968;21,425806
83695;30/04/1994;1994;4;92,8;24,064615;28,748148;20,259259
83695;31/05/1994;1994;5;51,4;23,3264;28,824;19,684
83695;30/06/1994;1994;6;57,6;20,450667;26,846667;15,986667
83695;31/07/1994;1994;7;18,6;20,111613;27,051613;14,880645
83695;31/08/1994;1994;8;2,4;20,415484;27,135484;15,33871
83695;30/09/1994;1994;9;0,9;22,347333;29,543333;16,933333
83695;31/10/1994;1994;10;69,6;24,727742;31,458065;19,470968
83695;30/11/1994;1994;11;72,2;25,981333;32,24;20,713333
83695;31/12/1994;1994;12;130,4;26,809032;32,987097;21,96129
83695;31/01/1995;1995;1;115,2;28,605161;35,890323;22,774194
83695;28/02/1995;1995;2;175,9;27,249286;33,125;22,892857
83695;31/03/1995;1995;3;129,8;26,393333;32,122581;21,729032
83695;30/04/1995;1995;4;106,1;24,28;30,093333;19,906667
83695;31/05/1995;1995;5;30,3;22,92129;28,529032;18,903226
83695;30/06/1995;1995;6;0;20,655333;28,826667;14,603333
83695;31/07/1995;1995;7;14;22,296774;29,716129;16,212903
83695;31/08/1995;1995;8;14,4;23,589677;31,548387;17,03871
83695;30/09/1995;1995;9;54,4;23,518;30,086667;18,203333
83695;31/10/1995;1995;10;189,6;23,541333;28,883871;19,741935
83695;30/11/1995;1995;11;225,5;24,278621;29,813333;20,153333
83695;31/12/1995;1995;12;285,7;25,499355;30,83871;21,567742
83695;31/01/1996;1996;1;234,7;27,456774;33,490323;22,470968
83695;29/02/1996;1996;2;136,7;27,732414;34,593103;22,724138
83695;31/03/1996;1996;3;110,9;27,123871;33,348387;22,716129
83695;30/04/1996;1996;4;65,4;24,732667;30,753333;20,316667
83695;31/05/1996;1996;5;46;21,371613;27,76129;16,748387
83695;30/06/1996;1996;6;19;20,641333;27,646667;15,506667
83695;31/07/1996;1996;7;1,6;20,137333;26,735484;15,296774
83695;31/08/1996;1996;8;27,6;20,416774;26,664516;15,264516
83695;30/09/1996;1996;9;108,8;21,685333;26,86;17,933333
83695;31/10/1996;1996;10;108;23,917419;29,735484;19,948387
83695;30/11/1996;1996;11;190;23,717333;28,333333;20,56
83695;31/12/1996;1996;12;347,1;25,790968;31,806452;21,980645
83695;31/01/1997;1997;1;371,1;26,277419;31,8;22,316129
83695;28/02/1997;1997;2;61;26,767143;33,128571;21,778571
83695;31/03/1997;1997;3;116,8;24,843871;30,129032;20,883871
83695;30/04/1997;1997;4;56,7;24,114667;30,266667;19,706667
83695;31/05/1997;1997;5;7,6;21,468387;27,348387;16,967742
83695;30/06/1997;1997;6;14,9;20,558667;28,72;14,56
83695;31/07/1997;1997;7;0;21,089677;28,819355;15,235484
83695;31/08/1997;1997;8;27;21,50129;29,445161;15,351613
83695;30/09/1997;1997;9;92;24,016;30,78;19,053333
83695;31/10/1997;1997;10;105,4;24,347097;30,090323;20,341935
83695;30/11/1997;1997;11;158,6;26,5;32,053333;22,826667
83695;31/12/1997;1997;12;189,5;26,962581;32,548387;22,780645
83695;31/01/1998;1998;1;214,6;27,548387;33,367742;23,283871
83695;28/02/1998;1998;2;127,8;28,311429;34,778571;23,392857
83695;31/03/1998;1998;3;61,2;27,454194;33,754839;22,980645
83695;30/04/1998;1998;4;46;25,766667;31,586667;21,646667
83695;31/05/1998;1998;5;95,3;22,476129;28,36129;18,193548
83695;30/06/1998;1998;6;12,7;19,498;25,666667;14,816667
83695;31/07/1998;1998;7;0,3;20,716774;27,477419;15,616129
83695;31/08/1998;1998;8;73,2;23,183226;29,23871;18,774194
83695;30/09/1998;1998;9;27,6;23,894667;29,866667;19,433333
83695;31/10/1998;1998;10;107,2;23,445161;28,058065;20,03871
83695;30/11/1998;1998;11;145,2;23,388;28,153333;19,806667
83695;31/12/1998;1998;12;152,8;26,557419;32,43871;22,451613
83695;31/01/1999;1999;1;153,5;27,179355;33,477419;22,612903
83695;28/02/1999;1999;2;73,2;27,512857;34,485714;22,314286
83695;31/03/1999;1999;3;92,7;26,406667;32,251613;22,206452
83695;30/04/1999;1999;4;49,6;24,64;30,52;20,186667
83695;31/05/1999;1999;5;2,5;22,085161;28,916129;16,56129
83695;30/06/1999;1999;6;30,1;21,261333;27,68;16,8
83695;31/07/1999;1999;7;10,9;21,268387;27,380645;16,896774
83695;31/08/1999;1999;8;19,8;20,506;27,735484;14,770968
83695;30/09/1999;1999;9;14,2;23,234667;30,826667;17,386667
83695;31/10/1999;1999;10;73,6;22,429677;28,019355;18,380645
83695;30/11/1999;1999;11;281,5;22,730667;27,606667;19,333333
83695;31/12/1999;1999;12;194,3;25,357419;30,658065;21,516129
83695;31/01/2000;2000;1;157,6;26,242581;31,593548;22,167742
83695;29/02/2000;2000;2;98,4;26,133793;31,531034;22,358621
83695;31/03/2000;2000;3;135,9;25,281935;30,387097;21,622581
83695;30/04/2000;2000;4;26,6;24,194;29,9;19,896667
83695;31/05/2000;2000;5;4,8;21,945333;28,767742;16,967742
83695;30/06/2000;2000;6;1,1;20,942;28,46;15,423333
83695;31/07/2000;2000;7;12,8;20,205806;26,690323;15,151613
83695;31/08/2000;2000;8;35,8;21,728387;28,76129;15,919355
83695;30/09/2000;2000;9;46,5;22,508;28,053333;18,493333
83695;31/10/2000;2000;10;65,2;25,828387;32,8;20,690323
83695;30/11/2000;2000;11;199,3;24,509333;29,38;21,093333
83695;31/12/2000;2000;12;247,6;25,762581;31,651613;22,045161
83695;31/01/2001;2001;1;114,4;26,710968;32,729032;22,051613
83695;28/02/2001;2001;2;61,8;27,84;34,864286;23,192857
83695;31/03/2001;2001;3;137,8;27,030667;33,470968;22,206452
83695;30/04/2001;2001;4;34,9;26,021333;32,673333;20,98
83695;31/05/2001;2001;5;46,8;22,97871;29,06129;18,477419
83695;30/06/2001;2001;6;13;22,204;28,833333;17,526667
83695;31/07/2001;2001;7;8,4;NA;29,092857;15,729032
83695;31/08/2001;2001;8;3,2;NA;28,658065;16,8
83695;30/09/2001;2001;9;87,1;NA;28,896667;18,18
83695;31/10/2001;2001;10;64,5;23,178333;29,058065;19,2
83695;30/11/2001;2001;11;291,3;25,084286;30,293333;21,653333
83695;31/12/2001;2001;12;183,7;25,796154;31,916129;22,029032
83695;31/01/2002;2002;1;156,1;26,685;32,512903;22,587097
83695;28/02/2002;2002;2;177,6;25,7328;31,617857;22,335714
83695;31/03/2002;2002;3;40,7;27,091333;33,512903;22,251613
83695;30/04/2002;2002;4;0,8;25,796;32,966667;20,646667
83695;31/05/2002;2002;5;93,5;23,952903;30,235484;19,490323
83695;30/06/2002;2002;6;3,2;22,129333;28,533333;17,54
83695;31/07/2002;2002;7;33,2;21,310968;27,180645;17,129032
83695;31/08/2002;2002;8;3;23,367097;30,835484;17,625806
83695;30/09/2002;2002;9;130,8;22,174667;27,993333;17,946667
83695;31/10/2002;2002;10;87;25,757419;33,36129;20,141935
83695;30/11/2002;2002;11;140;25,922667;31,646667;21,486667
83695;31/12/2002;2002;12;258,9;26,490323;31,748387;22,664516
83695;31/01/2003;2003;1;309,3;26,706452;32,248387;22,741935
