Nome: BELO HORIZONTE
Codigo Estacao: 83587
Latitude: -19.93444444
Longitude: -43.95222222
Altitude: 915.47
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;1,8;,1;38;22,4;20,2;19;94;91;,7;
1990-01-02;,8;,5;12,9;24,4;21;19;94,8;88;1,2;
1990-01-03;,9;1,5;13,7;25,8;21,5;19,4;87;77;1,9;
1990-01-04;1,7;4,8;6,7;28;22,4;19;80,3;71;1,8;
1990-01-05;3,7;9,3;0;27,5;23;18;74,5;67;1,6;
1990-01-06;5,9;12,1;0;28,5;23,9;19,8;71,8;64;2,2;
1990-01-07;6,6;12,1;0;28,2;23,1;18,8;68,8;70;2,2;
1990-01-08;8,1;12;0;30,2;24,2;18,8;59;47;1,4;
1990-01-09;6;11,8;0;30,8;25,6;20;60,8;47;,9;
1990-01-10;6,6;11,1;0;30,8;26;21,2;68;55;1,9;
1990-01-11;5,4;9,4;2,9;30,6;25,5;20,2;65,8;55;2,1;
1990-01-12;6,4;9,5;0;31,7;25,9;20,4;67,8;51;2,1;
1990-01-13;6,6;10,3;0;31,4;26;21,6;73,5;58;2;
1990-01-14;7,5;12,1;0;30,6;25,2;20,1;58;54;,3;
1990-01-15;8,5;11;0;31,5;25,7;19,4;57,8;42;1;
1990-01-16;8,6;10,9;0;31,2;25,6;19,4;57;42;1,6;
1990-01-17;9;10,2;0;30,6;25,3;21;67;53;2,2;
1990-01-18;9;11,9;0;29,6;24,5;20,2;69;57;2,4;
1990-01-19;8;12;0;29,5;24,6;20,2;68,8;43;3,1;
1990-01-20;9,5;11,2;0;30,4;25,4;20,6;71,8;47;1,7;
1990-01-21;8,5;10;0;32,2;26,9;20,8;56;47;1;
1990-01-22;7;9,5;0;33,2;27,4;22,6;63,3;46;1,2;
1990-01-23;9,4;11,1;0;34,6;28,8;22,6;55;40;2;
1990-01-24;10,1;9,6;0;34,2;27,6;21,8;63,8;52;1,6;
1990-01-25;9,5;6,3;0;33;25,5;21,8;69,8;59;1,5;
1990-01-26;5,7;5,6;4,5;31,2;24;20;77,8;75;1,8;
1990-01-27;5,8;9,4;9,9;27,6;23,6;20,8;63,8;55;2,7;
1990-01-28;8;10,5;0;27,6;22,7;18,8;61,8;48;3,4;
1990-01-29;8,9;10,3;0;28;23,5;19,8;63;61;1,9;
1990-01-30;7,4;9,6;0;30,2;24,3;20;59,3;49;1,2;
1990-01-31;9,5;10,5;0;30,6;25,2;20,4;53,8;52;2;
1990-02-01;9,9;10,9;0;30;24,8;21,2;52,5;41;2;
1990-02-02;11,5;11,2;0;28,3;23,9;19,8;61;51;2,2;
1990-02-03;8,5;11,2;0;29;24,3;19,8;62,3;56;2,4;
1990-02-04;7,5;11,3;0;29,2;24,2;20,2;60,8;42;2,5;
1990-02-05;9;10,8;0;29,2;24,2;20,4;58;47;1,7;
1990-02-06;9,3;11,1;0;29,6;24,3;20;57,3;44;1,9;
1990-02-07;9,7;10,2;0;32;26;20,4;57,8;56;2,1;
1990-02-08;9,1;10,8;0;33,5;27,3;21,4;61,3;51;1,2;
1990-02-09;8,2;8,4;10,8;32,4;25,5;18,8;64,5;46;,7;
1990-02-10;8,2;8;0;31,2;25,4;20,4;73,8;65;1,6;
1990-02-11;5,8;5;,8;30;23,5;18,5;81,3;67;1,5;
1990-02-12;4,5;5,9;40,2;29,8;23,9;18,4;84,5;71;,9;
1990-02-13;3;3,3;3;27,8;23,7;21;80,3;82;,4;
1990-02-14;2,1;2,6;27;27,8;22,8;18,8;88,8;77;1;
1990-02-15;1,6;3,1;4,8;27,8;22,3;19,6;87;72;1,7;
1990-02-16;2,5;4,1;40,4;29,8;24,1;19,4;86,5;71;1;
1990-02-17;2,5;8,9;0;29,8;24,1;20,2;83;67;1,3;
1990-02-18;3,3;5,4;4,6;27;24;21;83,8;83;,4;
1990-02-19;1,9;5,8;9,6;31;24,6;21,2;77,3;66;1;
1990-02-20;5,3;10,1;0;27;23;19,2;70,5;62;1,8;
1990-02-21;5,7;8,8;0;30;24;20;77,5;63;1,1;
1990-02-22;4,1;3,7;0;27,4;23,8;21;83,8;78;1,2;
1990-02-23;2,9;,8;30;24;20,8;18;93;86;1,2;
1990-02-24;1,2;6;19,1;27,8;21,9;18,4;84,5;71;1;
1990-02-25;2,3;2,1;,2;26,4;21,8;18,6;91;80;1,8;
1990-02-26;1,5;1,1;8,4;25,4;22;19,6;86,5;82;1,6;
1990-02-27;2;8,5;,6;30;24;19,2;79,8;65;1;
1990-02-28;4;5,9;3;28,9;24,4;21,8;65,3;64;1,2;
1990-03-01;6,3;9,5;0;30;24,2;20,2;63,5;56;2,2;
1990-03-02;7,1;9,7;0;28,8;23,8;19,8;64,5;52;2,3;
