ID Estação;Data;Hora;Chuva(mm);Umidade Max.(%);Umidade Min.(%);Umidade Méd.(%);Temperatura Máx.(ºC);Temperatura Mín.(ºC);Temperatura Méd.(ºC);Sensação Térmica Máx.(ºC);Sensação Térmica Mín.(ºC);Sensação Térmica Méd.(ºC); Ponto de Orvalho Máx.(ºC); Ponto de Orvalho Mín.(ºC); Ponto de Orvalho Méd.(ºC);Vel. do Vento Máx.(km/h);Vel. do Vento Mín.(km/h);Vel. do Vento Méd.(km/h);Dir. do Vento Méd.(º);Rajada de Vento Máx.(km/h);Rajada de Vento Mín.(km/h);Rajada de Vento Méd.(km/h);Pressão Máx.(hPa);Pressão Mín.(hPa);Radiação Solar Máx.(W/m²);Radiação Ultravioleta Máx.(W/m²)
IMACA7;20/03/2020;23:59:58;6,86;94;90;92,8;25,5;23,9;24,4;25,5;23,9;24,4;24,1;22,7;23,1;10,8;0;2,1;249;13;0;3,1;1016,59;1014,56;0;0
IMACA7;21/03/2020;23:59:55;2,03;96;79;88,6;26,9;23;24,5;26,9;23;24,5;23,4;20,5;22,4;14,3;0;4,3;210;18,3;0;5,9;1021,67;1013,21;2367,8;14
IMACA7;22/03/2020;23:59:53;5,59;96;66;87,1;27,3;21,1;23,3;27,3;21,1;23,3;22,2;20;21;19,5;0;4,3;209;23,8;0;6;1017,95;1012,19;1283,2;12
IMACA6;23/03/2020;23:59:04;4,06;90;58;74,8;27,6;21,9;24,4;27,6;21,9;24,4;20,3;18,6;19,6;13,4;0;5,2;183;18,3;1,1;7,2;1018,96;1016,59;NA;NA
IMACA7;23/03/2020;23:59:52;0,25;95;50;76,3;27,4;19,9;23,8;27,4;19,9;23,8;20,6;15,8;19,1;15,4;0;4;161;20,1;0;5,7;1019,3;1016,26;2367,8;15
IMACA6;24/03/2020;23:59:48;0,25;95;53;79;28,3;21,2;23,8;28,3;21,2;23,8;22,6;17,1;19,8;17,2;0;4,3;270;21,9;0;6;1018,29;1015,92;NA;NA
IMACA7;24/03/2020;17:13:42;0,25;93;61;80,6;26,7;20,5;23,1;26,7;20,5;23,1;21,1;18;19,5;15,4;0;3;197;20,1;0;4,3;1018,96;1015,92;1218,1;11
IMACA6;25/03/2020;23:59:35;0;95;47;74,8;28,8;19,5;24,1;28,8;19,5;24,1;20,8;16,1;19;17,2;0;4,8;243;21,9;0;6,7;1016,59;1013,55;NA;NA
IMACA7;25/03/2020;23:59:48;0;92;53;73,5;27,8;21,1;24,5;27,8;21,1;24,5;20,9;16,9;19,3;14,3;0;4,1;94;18,3;0;5,9;1013,55;1010,84;1014,2;9
IMACA6;26/03/2020;23:59:03;0;95;50;75;29,6;21;24,7;29,6;21;24,7;21,1;17,2;19,7;14,8;0;4;268;18,3;0;5,7;1016,26;1013,55;NA;NA
IMACA7;26/03/2020;23:59:46;0;93;56;79,6;28;20,2;23,5;28;20,2;23,5;20,8;18;19,6;12,6;0;2,3;265;16,6;0;3,5;1013,55;1010,5;1186,1;11
IMACA6;27/03/2020;23:59:20;0;95;52;75,9;30,4;20,5;24,9;30,4;20,5;24,9;21;18,4;20;17,2;0;3,4;0;20,9;0;5,1;1016,26;1013,55;NA;NA
IMACA7;27/03/2020;23:59:45;0;93;59;80,4;28,9;19,7;23,6;28,9;19,7;23,6;21,2;18,5;19,8;14;0;2,4;329;20,1;0;3,5;1013,55;1010,84;988,2;9
IMACA6;28/03/2020;23:59:09;0;94;55;75,1;30,8;21,5;26;30,8;21,5;26;22,1;20,2;21,1;18,3;0;5;93;23,3;0;7,2;1017,95;1014,56;NA;NA
IMACA7;28/03/2020;23:59:58;0;93;60;78,7;29,7;20,7;25,1;29,7;20,7;25,1;22,5;19,5;21,1;15,8;0;3,4;346;21,9;0;4,8;1013,55;1010,16;1160,4;11
IMACA6;29/03/2020;23:59:55;0,25;93;54;76,3;30,8;24,4;27;30,8;24,4;27;24,5;20,3;22,3;20,9;0;5,3;127;25,6;0;7,5;1017,61;1014,22;NA;NA
IMACA7;29/03/2020;23:59:57;0,51;93;58;79,8;30,3;23,6;26,2;30,3;23,6;26,2;23,7;20,7;22,3;16,9;0;3,1;4;21,9;0;4,5;1013,21;1009,82;1152,5;11
IMACA6;30/03/2020;23:59:52;5,08;99;63;85,3;30,3;23,7;25,9;30,3;23,7;25,9;24,5;21,5;23,1;17,2;0;4,1;97;20,9;0;5,9;1016,26;1012,87;NA;NA
IMACA7;30/03/2020;23:59:55;7,87;96;69;86,8;29,3;23;25,1;29,3;23;25,1;24,3;21,6;22,7;15,1;0;2,4;338;18,3;0;3,5;1012,19;1007,45;1261;14
IMACA6;01/04/2020;17:21:51;475,49;99;3;88,9;30,1;0,7;25,2;30,1;22,7;25,2;26,2;-39,8;23,1;117,6;0;3,2;232;118,1;0;4,8;1059,26;1006,43;NA;NA
IMACA7;01/04/2020;23:59:52;44,96;98;76;92,3;27,9;22,1;24,1;27,9;22,1;24,1;24,1;21,3;22,8;9;0;1,4;248;13;0;2,2;1011,85;1007,79;1351,3;13
IMACA6;02/04/2020;23:59:02;9,91;92;72;83,7;29,3;25,3;27,1;29,3;25,3;27,1;25,5;22,6;24,1;23,3;0;10,4;97;28;0;14,1;1012,19;1005,08;NA;NA
IMACA7;02/04/2020;23:59:50;5,08;98;79;91,3;28,5;22,3;24,9;28,5;22,3;24,9;25;21,8;23,4;18,7;0;3,3;4;27,7;0;4,9;1010,84;1001,69;1355,6;13
IMACA6;03/04/2020;12:43:00;0;93;42;66,9;37;25;29,8;37;25;29,8;24;20,7;22,4;12,2;0;2,9;140;15,8;0;4,6;1005,08;1001,02;NA;NA
IMACA7;03/04/2020;23:59:48;7,87;96;46;71,5;35,9;23,5;28,3;35,9;23,5;28,3;26,4;18,3;22,4;19,8;0;4,8;233;33,2;0;6,9;1012,53;997,29;994,2;9
IMACA6;04/04/2020;23:59:08;0;71;44;61,4;30,3;23,8;26,2;30,3;23,8;26,2;19,3;15,9;18;28;1,1;11,3;278;36,7;3,5;14,8;1012,87;1007,79;NA;NA
IMACA7;04/04/2020;23:59:45;0;79;50;66,5;29,1;22,4;24,8;29,1;22,4;24,8;19,4;16,2;18;25,6;0;8,7;199;33,2;0;11,8;1018,96;1011,51;926,1;8
IMACA6;05/04/2020;23:59:38;19,3;93;56;74,8;28,4;21,8;24,7;28,4;21,8;24,7;22,5;17,5;19,8;13,4;0;3,3;251;15,8;0;4,9;1015,92;1011,51;NA;NA
IMACA7;05/04/2020;23:59:45;0,25;94;62;78,6;27,3;20,9;23,8;27,3;20,9;23,8;22,1;17,3;19,8;12,2;0;2,1;179;16,6;0;3,1;1021,67;1017,61;1111,4;10
IMACA6;06/04/2020;23:53:03;0,25;99;0;79,1;31,3;21,9;25,8;31,3;21,9;25,8;23,5;0;21,7;118,8;0;7,9;70;33,2;0;11,2;1014,9;1009,82;NA;NA
IMACA7;06/04/2020;23:59:58;0;96;59;82,3;30,9;21,2;24,9;30,9;21,2;24,9;23,5;20,2;21,5;20,6;0;4,3;356;31,4;0;6,2;1021;1015,24;1077,1;10
IMACA6;07/04/2020;23:59:25;1,02;99;63;81,7;30,2;23,3;25,3;30,2;23,3;25,3;23,7;20,4;21,9;92,5;0;8,7;125;41;0;11,7;1015,58;1007,45;NA;NA
IMACA7;07/04/2020;23:59:56;1,27;96;68;82,6;29,6;22,6;25,6;29,6;22,6;25,6;24,5;20,6;22,3;23;0;5,7;108;33,2;0;7,9;1018,63;1013,21;863,2;8
IMACA6;08/04/2020;23:59:24;5,33;99;81;94,2;23,9;20,8;22,3;23,9;20,8;22,3;23,5;19,2;21,3;18,3;0;6,5;287;23,3;0;8,7;1014,9;1012,87;NA;NA
IMACA7;08/04/2020;23:59:54;8,13;98;76;92,5;23,9;20;21,6;23,9;20;21,6;21,9;18,8;20,4;16,6;0;4,3;196;23,8;0;6;1020,32;1016,59;481;14
IMACA7;09/04/2020;23:59:52;0,51;94;62;76,9;25,9;20;23,3;25,9;20;23,3;20;17,3;18,9;22,4;0;3,3;213;29,5;0;4,6;1018,96;1016,26;1138,7;11
IMACA6;15/04/2020;23:58:57;0;82;77;79,9;26,2;24,6;25,3;26,2;24,6;25,3;22,5;20,7;21,6;5;0;1;228;6,1;0;1,9;1015,92;1013,55;NA;NA
IMACA7;15/04/2020;23:59:58;0,76;86;71;81,8;27,5;23,9;25,1;27,5;23,9;25,1;22,6;20,7;21,7;11,1;0;1,3;239;14,8;0;2;1015,58;1011,18;289,7;2
IMACA6;16/04/2020;23:59:24;19,05;99;0;87,5;27,3;0;24,7;27,3;23,1;24,7;23,9;0;22,5;153,4;0;3,9;232;93,7;0;5,4;1019,64;882,49;NA;NA
IMACA7;16/04/2020;23:59:55;0,51;96;75;88,8;26,4;22,3;23,9;26,4;22,3;23,9;23,1;20,7;21,9;11,9;0;2,4;250;20,1;0;3,4;1019,64;1013,55;925,2;9
IMACA6;17/04/2020;23:58:59;0;98;73;85,9;23,8;22,4;23,1;23,8;22,4;23,1;23,5;18,3;20,6;15,8;0;5,6;275;19,5;0;8;1020,66;1018,29;NA;NA
IMACA7;17/04/2020;23:59:54;0,25;96;69;86,7;25,9;21,2;22,6;25,9;21,2;22,6;22,2;18,6;20,2;16,9;0;5,2;252;21,9;0;7;1021;1017,95;958,6;9
IMACA6;18/04/2020;23:59:12;0;88;53;75,3;27,7;20,2;23,7;27,7;20,2;23,7;20,1;17,1;19;20,9;0;6,1;247;25,6;0;8,4;1021,33;1018,29;NA;NA
IMACA7;18/04/2020;23:59:52;0;90;61;79,4;26,9;19,4;22,9;26,9;19,4;22,9;20,4;17,7;19,1;16,9;0;4,2;233;23,8;0;5,8;1021,33;1017,95;1024,2;9
IMACA6;19/04/2020;23:58:53;0;94;50;77,8;27,5;19,9;23,3;27,5;19,9;23,3;20,3;15,6;19;13,4;0;3,4;215;17,2;0;5;1021,33;1018,63;NA;NA
IMACA7;19/04/2020;23:59:50;0;94;51;80,7;26,5;19,2;22,4;26,5;19,2;22,4;20,1;15,2;18,8;12,2;0;2,4;240;16,6;0;3,4;1021,33;1017,95;1099,2;10
IMACA6;20/04/2020;23:59:42;0;93;49;76,9;27,8;19,6;23,4;27,8;19,6;23,4;20,2;16;18,9;17,2;0;4,8;214;20,9;0;6,6;1019,98;1016,26;NA;NA
IMACA7;20/04/2020;23:59:49;0;93;54;80,6;27;18,8;22,5;27;18,8;22,5;20,3;16,8;18,8;15,4;0;3,4;220;18,3;0;4,8;1019,64;1015,92;984,3;9
IMACA6;21/04/2020;23:59:45;0;95;50;79,1;28,5;19,3;23,5;28,5;19,3;23,5;21;16,2;19,4;15,8;0;3,6;202;19,5;0;5,1;1018,29;1014,9;NA;NA
IMACA7;21/04/2020;23:59:47;0;93;56;81,5;27,2;18,5;22,7;27,2;18,5;22,7;21,2;17,2;19,2;14,3;0;2,8;263;20,1;0;4;1017,95;1014,22;925,7;8
IMACA6;22/04/2020;23:55:37;0;99;51;81,2;27,9;19,4;23,6;27,9;19,4;23,6;21,1;16,8;20;14,8;0;3,1;155;18,3;0;4,5;1017,27;1014,56;NA;NA
IMACA7;22/04/2020;23:59:45;0;96;55;83,2;27,5;18,6;22,8;27,5;18,6;22,8;21,3;17,2;19,6;13;0;2;351;18,3;0;3,1;1017,27;1010,84;1013,8;9
IMACA6;23/04/2020;23:59:07;0;99;57;80,6;28,4;19,6;23,8;28,4;19,6;23,8;21,5;18,9;20;17,2;0;3,6;226;19,5;0;5,1;1018,63;1014,22;NA;NA
IMACA7;23/04/2020;23:59:59;0;96;62;82,7;27,8;18,9;22,9;27,8;18,9;22,9;21,5;17,8;19,7;13,7;0;2,4;7;16,6;0;3,5;1013,55;1009,14;894;8
IMACA6;24/04/2020;23:59:57;0;97;57;78,1;27,3;20,2;23,4;27,3;20,2;23,4;20,6;17,6;19,1;17,2;0;3,4;180;20,9;0;4,9;1021;1016,59;NA;NA
IMACA7;24/04/2020;23:59:58;0;95;60;80,7;26,6;19,4;22,6;26,6;19,4;22,6;20,6;17,6;18,9;12,2;0;2,3;340;16,6;0;3,4;1015,92;1011,18;838,1;8
IMACA6;25/04/2020;13:59:52;0;96;58;80,8;28,7;18,8;22,8;28,7;18,8;22,8;21,3;17,9;19;17,2;0;3,3;278;21,9;0;5;1021;1018,63;NA;NA
IMACA7;25/04/2020;23:59:55;0;95;63;82,1;28;17,9;23,1;28;17,9;23,1;22,3;16,8;19,7;13;0;2,4;352;20,1;0;3,7;1015,92;1012,87;1035,9;10
IMACA6;26/04/2020;23:58:57;0;90;44;68,8;31,2;22,2;26,3;31,2;22,2;26,3;21,2;17;19,9;21,9;0;7;105;25,6;0;9,5;1014,22;1010,84;NA;NA
IMACA7;26/04/2020;23:59:55;0;95;49;79,8;30,2;20,1;24,1;30,2;20,1;24,1;22,4;17,8;20,2;15,8;0;2,5;10;21,9;0;3,7;1016,26;1012,53;785,5;7
IMACA6;27/04/2020;23:59:43;0,25;96;55;79,7;28,7;20,2;23,7;28,7;20,2;23,7;21,3;17,8;19,8;15,8;0;3,8;198;21,9;0;5,6;1016,26;1012,87;NA;NA
IMACA7;27/04/2020;23:59:52;0,76;94;62;82,5;27,6;19,4;22,9;27,6;19,4;22,9;20,6;17,7;19,6;12,6;0;2,5;320;18,3;0;3,7;1018,29;1014,56;937;9
IMACA6;28/04/2020;23:59:49;0;94;50;78,7;29,4;19,8;23,3;29,4;19,8;23,3;21,4;16,7;19,1;15,8;0;4,1;179;18,3;0;5,9;1015,58;1011,85;NA;NA
IMACA7;28/04/2020;23:59:50;0;94;57;81,9;27,5;19;22,4;27,5;19;22,4;21,4;17,4;19;11,1;0;2,5;342;14,8;0;3,8;1017,61;1009,14;976,5;9
