Estação;Ano;Mes;Dia01;Dia02;Dia03;Dia04;Dia05;Dia06;Dia07;Dia08;Dia09;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Campos dos Goytacazes (A607);2012;1;1,6;22;52,4;9,8;2;0,2;1,8;58,2;16,4;4,4;2,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,8;15,6;14,6;0
Campos dos Goytacazes (A607);2012;2;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;6,2;3;8,6;0;0;0;0;0;0;0;0;0;0;0;0;null;null
Campos dos Goytacazes (A607);2012;3;0;0;0;0;0;0;3,8;2,6;0;0;0;0;0;0;0;28,6;7,6;0,4;1,6;0,4;0;0;0;11,4;10,6;0;0;0;22,6;0,4;0,2
Campos dos Goytacazes (A607);2012;4;4,8;0;0,2;0;0;0;2,8;0;0,2;0;5,2;1;0,2;0;0;0;0,2;0;0;0,2;0;0;0;2,4;0;0;0;0;0;0;null
Campos dos Goytacazes (A607);2012;5;23,8;16,8;0;2;5;0,6;0;1,8;2,8;0;0;0,2;0,2;2,6;55,2;23;2;0,6;10,8;0,2;0;0;0,4;0,2;0;0;0,8;0;0,2;0,2;0
Campos dos Goytacazes (A607);2012;6;10,8;54,4;0,2;0;0;0;0,2;22,8;0,2;4,2;0;0,2;0;0,2;0,2;0,2;0;0,2;0;0;0;0;0;0;0;0,2;0,2;2,4;0,2;0,2;null
Campos dos Goytacazes (A607);2012;7;0,2;0,4;0,2;0,2;0;0;0;0,2;0;0;0;0;0;0;0;0;10,4;0;2,6;0,2;0,2;0,2;0;0;0,2;0;0,2;0;0,2;0;0
Campos dos Goytacazes (A607);2012;8;0,8;6,6;0,2;0,2;0,2;0,8;0;0;0,6;2,8;0,2;0,2;2,2;6,4;13;6,2;0,6;9,6;0,6;2,6;0,2;0,6;2,4;2;0;5,6;0,4;0,6;5,2;null;0
Campos dos Goytacazes (A607);2012;9;0;0,2;0;0,6;0,2;0;0;0;0;0;0;0;0;0,8;0;0;0;0;0;0;4,8;15,4;0;0;0;0,6;6,4;0;0;1;null
Campos dos Goytacazes (A607);2012;10;0;0,2;0;0;0;0;0;0;0;0;0;0;4,8;0,6;0;0;0;0;0;0;null;0;0;0;0;0;0;0;0;0;0
Campos dos Goytacazes (A607);2012;11;9,2;0;2,2;2,4;0;0,2;1,2;3;2,2;4,8;2,4;0;13,6;54,2;0;14,4;11;1,4;0,2;0;29,2;0;0;0;6;8,4;0,2;1;1,8;0;null
Campos dos Goytacazes (A607);2012;12;0;0;0;7,6;0;0;0;0;0;0,4;0;0;0;0;1,2;4,2;0,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campos dos Goytacazes (A607);2013;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34,8;0;5,2;27;0
Campos dos Goytacazes (A607);2013;2;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null
Campos dos Goytacazes (A607);2013;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Campos dos Goytacazes (A607);2013;4;null;0;5,2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;0;0;0;0;0;0;0,2;0,2;0;0;0,2;0,2;null
Campos dos Goytacazes (A607);2013;5;0;0;0;0,2;0,2;0;0;0;0;0;0;0;0,2;0;0;0;2,8;16,4;2;0,2;0;0;11;0;17,6;0,8;0;0;3,4;0;0
