Nome: MACAE
Codigo Estacao: A608
Latitude: -22.3761111
Longitude: -41.81194444
Altitude: 28
Situacao: Operante
Data Inicial: 2006-09-21
Data Final: 2023-09-28
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-09-21;null;null;null;null;null;null;null;null;null;null;
2006-09-22;null;null;null;null;null;null;null;69;null;null;
2006-09-23;null;1010,8125;19,758333;30,9;23,629167;20;80,25;49;null;null;
2006-09-24;1,6;1011,154167;19,258333;25,1;21,7;20,5;86,666667;69;null;null;
2006-09-25;7,2;1017,725;16,766667;23,3;18,979167;17,5;87,541667;66;null;null;
2006-09-26;2,4;1021,279167;16,108333;22,3;18,9;16,6;84,666667;61;7,6;null;
2006-09-27;,2;1022,55;14,725;23,7;19,554167;16,2;75,458333;49;11,1;3,104167;
2006-09-28;0;1017,622727;15,336364;26,9;20,804545;15,6;73;41;14,6;4,681818;
2006-09-29;0;1013,158333;17,083333;29,6;22,708333;17,5;72,958333;44;10,4;3,495833;
2006-09-30;0;1017,354167;18,279167;23,3;21,154167;19,5;83,791667;77;9,4;2,241667;
2006-10-01;,4;1018,025;17,025;22,1;20,441667;18,8;81,25;68;7,6;2,3875;
2006-10-02;0;1013,8625;18,691667;24,1;21,091667;19,3;86,291667;74;10,4;3,291667;
2006-10-03;2;1010,195833;20,691667;28,9;23,133333;20,8;86,75;58;11,6;4,570833;
2006-10-04;0;1010,820833;21,091667;28,1;24,258333;21,2;83,416667;65;10,7;2,479167;
2006-10-05;0;1012,054167;20,208333;32,8;25,525;22,9;73,541667;44;14,2;6,391667;
2006-10-06;0;1011,516667;19,295833;32,4;25,166667;21,3;71,25;45;14;6,475;
2006-10-07;0;1012,275;20,154167;28,1;24,458333;21,9;77,416667;60;10,1;2,541667;
2006-10-08;,6;1012,9625;21,05;26,3;22,345833;21,7;92,583333;75;8;1,9875;
2006-10-09;4;1016,966667;19,583333;24,7;21,691667;20,3;88,333333;71;6,3;1,8875;
2006-10-10;0;1017,354167;19,8;27,3;22,441667;19,9;85,666667;57;10,7;2,7875;
2006-10-11;0;1013,466667;18,5625;30,2;24,220833;21,2;73,083333;42;13,9;5,233333;
2006-10-12;0;1007,304167;19,795833;34,5;25,1125;19,9;74,916667;37;9,2;2,933333;
2006-10-13;2,6;1008,229167;21,3125;26,1;23,0125;21,5;90,375;77;7;1,533333;
2006-10-14;,4;1010,004167;21,2375;28,7;23,520833;21,5;87,75;64;8,4;1,9625;
2006-10-15;0;1010,975;21,1125;27,3;23,470833;22,1;86,791667;72;13,6;4,466667;
2006-10-16;0;1009,920833;20,6875;31,3;24,783333;22,3;78,833333;52;14,3;5,779167;
2006-10-17;0;1010,3375;21,408333;30;24,645833;22,2;83,041667;60;10,4;2,125;
2006-10-18;19,8;1010,904167;20,829167;25,2;22,516667;21,2;90,25;80;9,9;2,325;
2006-10-19;7,2;1009,679167;19,641667;21,5;20,4125;20;95,291667;86;11,5;2,191667;
2006-10-20;24,2;1011,870833;18,154167;24,9;20,345833;18,8;88,041667;65;10,1;2,558333;
2006-10-21;1;1016,204167;15,970833;24,2;19,483333;17;81;57;8;1,904167;
2006-10-22;1;1017,166667;15,4875;23,3;18,75;16,4;82,5;58;10,2;2,616667;
2006-10-23;11,4;1019,120833;15,466667;24,1;19,625;16;78,541667;55;8,4;2,583333;
2006-10-24;0;1019,1625;16,425;23,8;20,329167;16,5;79,125;63;13,6;3,470833;
2006-10-25;,2;1016,4875;17,508333;27,7;21,854167;17,9;77,458333;52;12,5;4,441667;
2006-10-26;0;1009,420833;18,516667;33,9;25,2375;19,3;69,708333;35;11;3,5125;
2006-10-27;0;1005,458333;18,2375;28;23,183333;20,8;74,541667;52;15,4;4,129167;
2006-10-28;0;1007,058333;15,4375;29,8;23,366667;18,9;63,166667;41;15,9;4,491667;
2006-10-29;2,2;1008,504167;18,116667;28,8;22,141667;18,3;79,25;50;11,1;3,208333;
2006-10-30;0;1006,75;19,2875;26,5;22,433333;18,1;83,083333;65;13,4;3,7875;
2006-10-31;0;1005,691667;21,504167;33,5;25,720833;20,5;79,125;48;12,5;3,725;
2006-11-01;0;1007,116667;21,05;33,8;26,604167;23,2;73,083333;46;15,9;6,608333;
2006-11-02;0;1007,2375;21,779167;32,7;25,929167;23;79;50;12,3;4,108333;
2006-11-03;5,2;1008,15;22,620833;27,5;24,0875;23,1;91,625;80;7,5;1,8875;
2006-11-04;,8;1010,045833;20,929167;26,6;22,970833;21,6;88,583333;71;8,8;2,154167;
2006-11-05;3,6;1011,8;19,73913;26,9;22,378261;19,9;85,652174;66;7;1,673913;
2006-11-06;1,8;1008,508333;19,9625;25,9;22,475;19,4;86,291667;70;14;3,879167;
2006-11-07;0;1004,245833;20,404167;30,8;24,879167;22,4;77,791667;48;17,4;5,333333;
