Nome: CAMPOS DOS GOYTACAZES - SAO TOME
Codigo Estacao: A620
Latitude: -22.04166666
Longitude: -41.05166666
Altitude: 7
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2012-01-01;2;25,3;24,354167;23,8;87,416667;
2012-01-02;23,6;24,7;22,804167;22,5;92,333333;
2012-01-03;37,6;22,4;20,4375;19,5;89,5;
2012-01-04;14,8;25,1;22,25;19;85,958333;
2012-01-05;1,6;26,6;23,541667;21,1;85,125;
2012-01-06;,8;28,6;24,858333;22,3;83,5;
2012-01-07;,2;28,4;24,775;23,3;81,208333;
2012-01-08;16,6;26,1;23,204167;20,5;89,208333;
2012-01-09;25,4;24,6;23,416667;21,7;89,125;
2012-01-10;,6;28,1;24,729167;23,2;84,25;
2012-01-11;0;28,1;24,683333;22,7;83,833333;
2012-01-12;0;29,3;25,545833;23;77,708333;
2012-01-13;0;29,5;25,716667;23,6;77,375;
2012-01-14;0;29,7;25,541667;22,9;76,458333;
2012-01-15;0;30,1;25,845833;23,1;76,458333;
2012-01-16;0;31,2;25,870833;23,1;77,25;
2012-01-17;0;30,5;25,7375;22,9;77,416667;
2012-01-18;0;29,7;25,691667;23,4;75;
2012-01-19;0;29,5;25,575;22,8;75,583333;
2012-01-20;0;30,1;25,758333;23,3;74,583333;
2012-01-21;0;29,9;25,820833;23,4;75,75;
2012-01-22;0;30,2;25,954167;23,4;75,125;
2012-01-23;0;30;25,904167;23,2;74,875;
2012-01-24;0;29,8;26,058333;23,6;74,708333;
2012-01-25;0;29,5;25,858333;23,4;71,083333;
2012-01-26;0;31,2;25,966667;22,7;69,166667;
2012-01-27;0;25,5;22,958333;22;87,208333;
2012-01-28;3;25,2;21,916667;20,6;88,541667;
2012-01-29;4,6;23,5;21,891667;21,1;90,25;
2012-01-30;58,6;25,3;21,958333;19,9;89,916667;
2012-01-31;2;28,9;25,245833;21,9;80,25;
2012-02-01;0;29,5;25,741667;23,4;77,75;
2012-02-02;0;29,6;25,625;22,9;77,166667;
2012-02-03;0;30,2;25,45;22,6;77,75;
2012-02-04;,2;30,2;25,558333;22,6;77,166667;
2012-02-05;0;30,9;26,3625;23,3;76;
2012-02-06;0;30,4;26,495833;24,2;72,875;
2012-02-07;0;30,1;25,820833;22,7;75,458333;
2012-02-08;0;30,3;25,708333;22,5;75,75;
2012-02-09;0;29,8;25,583333;22,8;74,333333;
2012-02-10;0;29,2;25,591667;23,6;73,833333;
2012-02-11;0;29,2;25,558333;23,5;76,208333;
2012-02-12;0;29,4;26,033333;23,8;76,708333;
2012-02-13;0;30,4;25,920833;23,2;75,208333;
2012-02-14;1,6;30,5;25,716667;23;78,541667;
2012-02-15;19;28,8;25,129167;22,5;81,833333;
2012-02-16;1;26,9;24,45;22,5;82,875;
2012-02-17;0;29,6;25,354167;22,7;81,416667;
2012-02-18;0;30,5;26,075;23,5;76,75;
2012-02-19;0;30,1;26,245833;23,7;74,958333;
2012-02-20;0;29,3;25,941667;23,7;74,041667;
2012-02-21;0;29,3;25,758333;22,9;72,958333;
2012-02-22;0;29,3;25,4875;23,9;74,5;
2012-02-23;0;29,7;25,858333;23,5;73,5;
2012-02-24;0;30,1;26,029167;23,8;73,625;
2012-02-25;0;30;25,85;22,9;74,208333;
2012-02-26;0;30,2;26,1125;23,1;68,541667;
2012-02-27;0;31,9;26,395833;22,2;73,291667;
2012-02-28;0;30;25,766667;20,5;77,458333;
2012-02-29;0;29,9;26,033333;23,3;71,708333;
2012-03-01;0;30,9;25,975;23,1;72,458333;
2012-03-02;0;30,8;25,991667;22,9;70,083333;
2012-03-03;0;30,6;25,275;22,3;77,375;
2012-03-04;0;28,2;24,083333;21,3;86,041667;
2012-03-05;,2;29,5;25,1375;22;83;
2012-03-06;0;29,1;25,254167;23,1;81,708333;
2012-03-07;0;28,3;24,858333;22,3;80,5;
2012-03-08;0;27,7;24,745833;21,9;81,916667;
2012-03-09;0;28,6;24,758333;21,6;82,541667;
2012-03-10;0;29,7;25,670833;23,2;74,416667;
2012-03-11;0;30,5;26,141667;21,9;71,375;
2012-03-12;0;30,1;26,475;24,9;74,291667;
2012-03-13;0;30,6;26,333333;24,4;71,708333;
2012-03-14;0;31;26,15;24,3;73,416667;
2012-03-15;0;30,8;26,516667;24,2;70,666667;
2012-03-16;6,8;25,9;22,916667;20;87,666667;
2012-03-17;8,4;25,1;22,320833;20,4;87,041667;
2012-03-18;0;25,3;22,595833;21;82,125;
2012-03-19;2,4;22,9;21,670833;20,5;91,666667;
2012-03-20;3,2;26,2;23,029167;21;83,458333;
