"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/09/2023";"0000";"20,6";"20,6";"20,2";"92,0";"93,0";"92,0";"19,4";"19,4";"18,9";"1018,1";"1018,1";"1017,1";"0,7";"356,0";"1,3";"";"0,0"
"01/09/2023";"0100";"20,3";"20,8";"20,2";"93,0";"93,0";"92,0";"19,1";"19,4";"18,9";"1018,3";"1018,3";"1018,0";"0,7";"298,0";"1,2";"";"0,0"
"01/09/2023";"0200";"19,6";"20,4";"19,6";"93,0";"94,0";"93,0";"18,5";"19,2";"18,5";"1018,3";"1018,4";"1018,2";"0,5";"18,0";"1,2";"";"0,0"
"01/09/2023";"0300";"19,8";"19,9";"19,5";"93,0";"94,0";"93,0";"18,6";"18,8";"18,4";"1018,3";"1018,4";"1018,2";"0,8";"308,0";"1,8";"";"0,0"
"01/09/2023";"0400";"19,2";"19,8";"19,0";"94,0";"94,0";"93,0";"18,3";"18,6";"17,9";"1017,8";"1018,3";"1017,8";"0,8";"330,0";"1,5";"";"0,0"
"01/09/2023";"0500";"18,6";"19,2";"18,3";"95,0";"95,0";"94,0";"17,8";"18,2";"17,5";"1017,2";"1017,8";"1017,2";"1,0";"354,0";"1,8";"";"0,0"
"01/09/2023";"0600";"18,4";"18,6";"18,3";"95,0";"95,0";"95,0";"17,5";"17,9";"17,5";"1016,7";"1017,3";"1016,7";"0,6";"342,0";"2,2";"";"0,0"
"01/09/2023";"0700";"18,2";"18,4";"17,9";"95,0";"95,0";"94,0";"17,4";"17,5";"17,0";"1016,3";"1016,7";"1016,2";"1,1";"319,0";"1,8";"";"0,0"
"01/09/2023";"0800";"17,4";"18,2";"17,4";"96,0";"96,0";"95,0";"16,7";"17,4";"16,7";"1016,9";"1016,9";"1016,3";"0,7";"348,0";"1,8";"";"0,0"
"01/09/2023";"0900";"17,1";"17,8";"17,1";"96,0";"96,0";"95,0";"16,4";"17,1";"16,3";"1017,3";"1017,3";"1016,9";"1,1";"343,0";"2,0";"";"0,0"
"01/09/2023";"1000";"18,4";"18,4";"17,1";"95,0";"96,0";"95,0";"17,5";"17,6";"16,4";"1017,9";"1017,9";"1017,3";"1,3";"343,0";"2,3";"192,40";"0,0"
"01/09/2023";"1100";"21,3";"21,3";"18,4";"84,0";"95,0";"84,0";"18,5";"18,5";"17,5";"1018,4";"1018,4";"1017,9";"1,4";"355,0";"3,4";"911,80";"0,0"
"01/09/2023";"1200";"23,0";"23,6";"21,3";"75,0";"84,0";"74,0";"18,3";"19,4";"17,9";"1019,1";"1019,1";"1018,4";"4,1";"42,0";"6,7";"1682,60";"0,0"
"01/09/2023";"1300";"24,0";"24,7";"22,8";"67,0";"77,0";"66,0";"17,4";"19,1";"17,4";"1019,2";"1019,3";"1019,1";"3,1";"20,0";"7,1";"2298,00";"0,0"
"01/09/2023";"1400";"24,8";"25,8";"23,9";"69,0";"72,0";"60,0";"18,8";"19,6";"16,7";"1018,8";"1019,2";"1018,7";"3,4";"95,0";"7,7";"2714,50";"0,0"
"01/09/2023";"1500";"24,5";"25,5";"23,8";"69,0";"73,0";"68,0";"18,5";"19,7";"18,3";"1018,1";"1018,8";"1018,1";"4,7";"93,0";"8,7";"2855,90";"0,0"
