Nome: CAMPOS
Codigo Estacao: 83698
Latitude: -21.74249999
Longitude: -41.33277777
Altitude: 11.2
Situacao: Operante
Data Inicial: 1961-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1961-01-31;244,9;30,845161;25,727742;22,348387;2,817391;
1961-02-28;117,4;31,964286;26,402143;22,314286;2,55;
1961-03-31;18,7;31,825806;26,187097;22,112903;2,503226;
1961-04-30;78;30,96;25,022667;20,64;1,93;
1961-05-31;42,7;28,906452;22,883871;18,693548;1,15914;
1961-06-30;74;26,913333;21,533333;17,656667;1,424444;
1961-07-31;82,5;26,887097;20,74129;16,070968;1,843011;
1961-08-31;9,5;29,070968;21,993548;16,93871;2,558065;
1961-09-30;4;30,593333;24,026667;19,473333;3,655556;
1961-10-31;19,3;29,990323;24,551613;20,177419;4,68172;
1961-11-30;65,9;30,916667;24,970667;20,46;3,218889;
1961-12-31;126;30,635484;25,375484;21,212903;3,72043;
1962-01-31;251,9;32,019355;26,201935;22,354839;1,605376;
1962-02-28;147,2;31,353571;25,927143;22,410714;1,714286;
1962-03-31;42,1;31,76129;26,299355;21,974194;2,393548;
1962-04-30;77,4;30,4;24,303333;19,856667;1,443333;
1962-05-31;98,3;27,445161;21,888387;17,874194;1,097849;
1962-06-30;6,9;24,993333;19,348667;14,98;1,017778;
1962-07-31;34,8;25,912903;20,050323;15,812903;1,851613;
1962-08-31;2,1;28,145161;21,433548;16,658065;2,267742;
1962-09-30;52,7;27,68;22,27;17,873333;2,528889;
1962-10-31;131,8;26,825806;22,317419;18,880645;1,711828;
1962-11-30;128,7;29,583333;24,2;20,156667;2,352222;
1962-12-31;242,9;28,832258;25,130323;22,409677;1,648387;
1963-01-31;12,3;33,287097;27,094194;22,554839;3,043011;
1963-02-28;34,8;32,067857;26,304286;22,110714;2,589286;
1963-03-31;8,5;34,393548;27,437419;22,616129;2,548387;
1963-04-30;50,5;30,99;24,734667;20,303333;1,22;
1963-05-31;26,5;29,670968;22,185806;17,025806;,877419;
1963-06-30;17,2;27,233333;20,858;16,353333;1,05;
1963-07-31;8,9;27,9;20,542581;15,683871;1,115054;
1963-08-31;20,9;28,725806;21,243871;15,932258;2,009677;
1963-09-30;0;30;23,162;18,333333;3,33;
1963-10-31;49,3;29,706452;24,332903;20,796774;1,915054;
1963-11-30;106,2;31,326667;25,549333;21,45;2,075556;
1963-12-31;105,6;30,648387;25,10129;20,916129;1,852688;
1964-01-31;285,5;29,990323;25,045161;21,6;,986022;
1964-02-29;181,4;31,955172;26,226207;22,424138;1,563218;
1964-03-31;96;31,145161;25,295484;21,103226;1,667742;
1964-04-30;115,8;29,823333;24,414667;20,683333;,922222;
