Nome: SAO PAULO(MIR.de SANTANA)
Codigo Estacao: 83781
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.16
Situacao: Operante
Data Inicial: 1991-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1991-01-01;3,7;0;20,1;73,5;1,8;
1991-01-02;3;2;21,9;69,5;2,8;
1991-01-03;4,9;0;21,4;80,8;2,2;
1991-01-04;3,3;11,6;19,4;87;2,8;
1991-01-05;1,5;14,4;20,2;75;3,9;
1991-01-06;4,4;,1;20,6;76,8;3,8;
1991-01-07;3,8;0;21,2;76,3;3,9;
1991-01-08;4,2;0;22,6;72,8;3,5;
1991-01-09;3,7;0;22,7;77,8;2,7;
1991-01-10;3,6;0;23,7;76,8;3,1;
1991-01-11;4,5;0;22,9;84,8;2,6;
1991-01-12;3;22;20,3;81,8;3,3;
1991-01-13;2,6;0;22;77;2,7;
1991-01-14;4;0;23,4;89,5;1,7;
1991-01-15;1,5;9,4;22,3;90,3;2,3;
1991-01-16;1,3;106,4;23,1;82,3;2,5;
1991-01-17;3,2;2,2;18,8;91,8;3,6;
1991-01-18;1,8;6,6;18,7;80,5;5,3;
1991-01-19;1,6;0;20,7;78;2,7;
1991-01-20;5,5;0;22,4;74,8;3,3;
1991-01-21;3;0;24,9;64,8;1,2;
1991-01-22;6,8;0;25,3;75,5;2,8;
1991-01-23;4,4;1;24,2;76,3;1,6;
1991-01-24;4,6;0;22,6;73,8;1,5;
1991-01-25;3,5;0;23,2;74,8;2,3;
1991-01-26;5,9;23;19,2;94,5;3,4;
1991-01-27;,3;51;19,6;86,8;3,1;
1991-01-28;,4;14,2;22,9;78,8;3,7;
1991-01-29;4,8;0;24,4;70;2,5;
1991-01-30;4,2;6,4;24,3;72;5;
1991-01-31;6,4;,4;22,6;82;3,7;
1991-02-01;3,4;9,8;22,6;86,8;2,1;
1991-02-02;1,4;16,4;21,7;84,3;3,2;
1991-02-03;2,2;52,6;20,8;86,8;,5;
1991-02-04;1,1;24;22,8;77,3;2,5;
1991-02-05;3,1;5,2;21,9;79,8;1,9;
1991-02-06;2,8;15,7;21,7;84,8;1,8;
1991-02-07;1,9;39,1;21,9;90,8;3,5;
1991-02-08;1,8;8,6;22,2;85,3;2,4;
1991-02-09;2,3;18,6;21,7;91;2,9;
1991-02-10;1,7;13,2;23,1;82,3;2;
1991-02-11;3,6;0;22,4;81,5;3,2;
1991-02-12;3,4;76,2;23,5;77,5;2,4;
1991-02-13;4;8;22,1;75,3;3,4;
1991-02-14;3,7;0;22,7;71,3;3,1;
1991-02-15;4,3;0;21,7;84;2,5;
1991-02-16;2,7;0;21,4;83,8;3,1;
1991-02-17;2,7;0;22,8;79,8;2,7;
1991-02-18;3,1;15,4;19,7;94;2,1;
1991-02-19;1;37,5;20,7;74,3;3;
1991-02-20;4;0;20,6;73;3,5;
1991-02-21;4,2;0;21,2;77,5;3,4;
1991-02-22;4,2;0;24,5;70,3;2,4;
1991-02-23;7,4;0;20,7;77,5;2,9;
1991-02-24;3,2;,1;18,6;67;2,8;
1991-02-25;5,2;0;19,9;75;2,8;
1991-02-26;3,5;0;22,1;70,3;3,4;
1991-02-27;3,6;0;23,2;71;3,1;
1991-02-28;4,8;17,6;23,6;68;2;
1991-03-01;3,2;,1;23,8;68,3;1,8;
1991-03-02;1,5;4,8;22,1;88,3;1,8;
1991-03-03;3,2;12,6;22,1;88,5;1,7;
1991-03-04;2,4;3;21,2;87;3;
1991-03-05;2,1;83,1;20,7;89,8;2,2;
1991-03-06;1,5;9,5;21,8;84;2,7;
1991-03-07;2,5;17,2;21,1;86,3;3,2;
1991-03-08;2;8;23,2;74,3;1,6;
1991-03-09;4;0;22,6;77;1,6;
1991-03-10;5,9;15,4;23,6;73;,9;
1991-03-11;1,8;0;22;90,5;2;
1991-03-12;1,3;18,3;22,9;79,5;1,8;
1991-03-13;4;0;23,1;80,8;1,8;
1991-03-14;4,5;16,5;21,1;86,5;3,6;
1991-03-15;2,2;1,3;20,5;72,5;2,4;
1991-03-16;4,2;0;19,8;70;4,7;
1991-03-17;4,6;0;20,7;77,3;2;
1991-03-18;3,8;9,2;23,2;72,8;2,6;
1991-03-19;5,4;30,2;21,4;93,5;2,1;
1991-03-20;,6;20,2;23,1;81,8;1,9;
1991-03-21;3,8;1;22,2;91,3;1,7;
1991-03-22;1,1;49,4;20;89,5;3,9;
1991-03-23;1,7;1,7;20;87;2,8;
1991-03-24;2,2;,5;20,6;89,3;2,6;
1991-03-25;1,5;1;22;88,5;1;
1991-03-26;1,5;32;18,8;89;3,3;
1991-03-27;1;26,6;16,2;96;3,5;
1991-03-28;,5;42,2;16,6;95,5;2,4;
1991-03-29;,5;35,4;17,7;93,5;2,3;
1991-03-30;,5;9,8;19,2;92,5;3,6;
1991-03-31;,8;2,3;21,1;88;2,1;
1991-04-01;1,7;12,4;21,9;76,5;2,3;
1991-04-02;4,6;0;19,9;80,3;2,7;
1991-04-03;3;0;20,1;77,3;2,7;
1991-04-04;3,4;0;20,8;84,5;2,3;
1991-04-05;3,2;4,6;17,3;82,8;3;
1991-04-06;2;0;18;75,3;1,9;
1991-04-07;3,6;0;21;78,8;1,9;
1991-04-08;4,6;0;21,6;82,5;2;
1991-04-09;3,2;0;21,3;81,5;1,3;
1991-04-10;3,4;0;22;79,5;1;
1991-04-11;4,3;0;23,3;76,5;,7;
1991-04-12;5,1;0;23,8;75;1,3;
1991-04-13;7,4;0;21,7;77,5;3;
1991-04-14;1,8;,1;23,6;71,8;1,3;
1991-04-15;5,2;0;22,7;80;1,7;
1991-04-16;2,4;16,6;22,4;84,3;1,7;
1991-04-17;2,9;12,8;23,9;68,8;3;
1991-04-18;5,9;0;23,2;80,5;2,4;
1991-04-19;3,8;11,3;19,5;85;2,7;
1991-04-20;1,8;1;15,6;81,3;4;
1991-04-21;3;0;17,4;74,8;4;
1991-04-22;3,2;0;18,7;76,8;2,7;
1991-04-23;3,5;0;18,8;85,8;1,8;
1991-04-24;5;0;20,5;69,5;3;
1991-04-25;4,9;77,9;18,2;89;1,7;
1991-04-26;1,6;14;18,1;94;1,7;
1991-04-27;1;13,8;19,2;70;2;
1991-04-28;3;2;18,1;77,5;2,3;
1991-04-29;3;0;17,5;90,5;1,7;
1991-04-30;1,5;2,5;18,4;83,5;2,9;
1991-05-01;2,5;2,2;19,2;76;2,4;
1991-05-02;3;0;19,3;76,8;1,2;
1991-05-03;3,5;0;19,6;78;1,3;
1991-05-04;3;0;19,3;71,5;3;
1991-05-05;5,7;0;20,4;75;2,5;
1991-05-06;4,6;0;17,2;88,3;2,9;
1991-05-07;2,2;10;15,7;95,8;3,9;
1991-05-08;,5;10;16;86,8;2;
1991-05-09;2;0;16,2;81,8;2,3;
1991-05-10;8,2;0;16,8;77,5;2,9;
1991-05-11;2,8;0;17,3;78,5;2;
1991-05-12;2,5;0;17,4;78,8;3;
1991-05-13;3;0;18,2;76,3;3,1;
1991-05-14;3;0;19,2;77,3;1,7;
1991-05-15;3;6;17,6;82,8;3;
1991-05-16;3;,8;17,7;75,5;1,7;
1991-05-17;3;0;18;75,3;2,9;
1991-05-18;2,9;0;18,3;78,8;4,8;
1991-05-19;2,9;0;19,3;80;3,4;
1991-05-20;3,2;0;20,2;78,5;1,3;
1991-05-21;2,5;1;19,9;71,8;1;
1991-05-22;3,3;0;20,9;67,3;3;
1991-05-23;7,5;4,2;18,2;72,5;5,2;
1991-05-24;5,5;0;17,6;80,8;2,6;
1991-05-25;2,4;0;18,5;72;1,3;
1991-05-26;4,1;0;18,3;77,3;1,7;
1991-05-27;1,5;0;20,8;56,3;2;
1991-05-28;5,6;0;20,2;62,3;1,3;
1991-05-29;3,4;0;20;65,8;1,2;
1991-05-30;4,5;0;18,6;69,8;1,7;
